0000.000 (0) Opened log file at time: Wed, 08 Nov 2017 23:40:45 +0000 on http://mpd150.labsix.co
0000.002 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.13.12 WP: 4.8.3 PHP: 7.0.19-1 (apache2handler, Linux mpd150 4.9.0-4-amd64 #1 SMP Debian 4.9.51-1 (2017-09-28) x86_64) MySQL: 5.5.5 WPLANG: en_US Server: Apache/2.4.25 (Debian) safe_mode: 0 max_execution_time: 900 memory_limit: 256M (used: 5.3M | 4M) multisite: N openssl: OpenSSL 1.1.0e  16 Feb 2017 mcrypt: N LANG: C ZipArchive::addFile: N
0000.003 (0) Free space on disk containing Updraft's temporary directory: 27053.9 MB
0000.006 (0) Tasks: Backup files: 1 (schedule: daily) Backup DB: 1 (schedule: daily)
0000.007 (0) Semaphore (fd, wpmpd_options) being initialised
0000.012 (0) Requesting semaphore lock (fd) (apparently not via scheduler)
0014.680 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 5900 files added (on-disk size: 0 KB)
0014.683 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 6000 files added (on-disk size: 0 KB)
0014.686 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 6100 files added (on-disk size: 0 KB)
0014.690 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 6200 files added (on-disk size: 0 KB)
0014.694 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 6300 files added (on-disk size: 0 KB)
0014.698 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 6400 files added (on-disk size: 0 KB)
0014.701 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 6500 files added (on-disk size: 0 KB)
0014.704 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 6600 files added (on-disk size: 0 KB)
0014.707 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 6700 files added (on-disk size: 0 KB)
0014.710 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 6800 files added (on-disk size: 0 KB)
0014.714 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 6900 files added (on-disk size: 0 KB)
0014.717 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 7000 files added (on-disk size: 0 KB)
0014.721 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 7100 files added (on-disk size: 0 KB)
0014.725 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 7200 files added (on-disk size: 0 KB)
0014.729 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 7300 files added (on-disk size: 0 KB)
0014.733 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 7400 files added (on-disk size: 0 KB)
0014.737 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 7500 files added (on-disk size: 0 KB)
0014.742 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 7600 files added (on-disk size: 0 KB)
0014.747 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 7700 files added (on-disk size: 0 KB)
0014.752 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 7800 files added (on-disk size: 0 KB)
